"ProcessName","Path","Id"
"csrss",,"392"
"csrss",,"504"
"ctfmon",,"4764"
"dllhost",,"2980"
"dwm",,"1000"
"explorer","C:\Windows\Explorer.EXE","4844"
"fontdrvhost",,"764"
"fontdrvhost",,"772"
"GoogleCrashHandler",,"5772"
"GoogleCrashHandler64",,"5900"
"GoogleUpdate",,"4392"
"Idle",,"0"
"lsass",,"636"
"Memory Compression",,"1452"
"msdtc",,"3112"
"MsMpEng",,"2484"
"NisSrv",,"3936"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","5816"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5368"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5680"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","5204"
"SecurityHealthService",,"6004"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","5972"
"services",,"628"
"SgrmBroker",,"2648"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5112"
"sihost","C:\Windows\system32\sihost.exe","4244"
"smartscreen","C:\Windows\System32\smartscreen.exe","3056"
"smss",,"288"
"spoolsv",,"1996"
"svchost",,"324"
"svchost",,"624"
"svchost",,"732"
"svchost",,"736"
"svchost",,"780"
"svchost",,"844"
"svchost",,"880"
"svchost",,"892"
"svchost",,"932"
"svchost",,"1072"
"svchost",,"1100"
"svchost",,"1172"
"svchost",,"1196"
"svchost",,"1236"
"svchost",,"1264"
"svchost",,"1272"
"svchost",,"1304"
"svchost",,"1312"
"svchost",,"1336"
"svchost",,"1360"
"svchost",,"1420"
"svchost",,"1476"
"svchost",,"1576"
"svchost",,"1604"
"svchost",,"1664"
"svchost",,"1676"
"svchost",,"1732"
"svchost",,"1748"
"svchost",,"1800"
"svchost",,"1920"
"svchost",,"1952"
"svchost",,"2128"
"svchost",,"2148"
"svchost",,"2364"
"svchost",,"2372"
"svchost",,"2380"
"svchost",,"2444"
"svchost",,"2512"
"svchost",,"2592"
"svchost",,"3460"
"svchost",,"3472"
"svchost",,"3608"
"svchost",,"4052"
"svchost","C:\Windows\system32\svchost.exe","4264"
"svchost","C:\Windows\system32\svchost.exe","4384"
"svchost",,"4544"
"svchost",,"4716"
"svchost",,"4880"
"svchost","C:\Windows\system32\svchost.exe","5092"
"svchost","C:\Windows\system32\svchost.exe","5104"
"svchost",,"5304"
"svchost",,"5456"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","4524"
"VGAuthService",,"2468"
"vm3dservice",,"2460"
"vm3dservice",,"2624"
"vmtoolsd",,"2492"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","6112"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","4196"
"wininit",,"496"
"winlogon",,"588"
"WmiPrvSE",,"2972"
"WmiPrvSE",,"3228"
